Place Score
1 1000
2 706
3 575
4 497
5 443
6 403
7 371
8 346
9 325
10 307
11 291
12 277
13 265
14 254
15 244
16 235
17 226
18 218
19 211
20 204
21 198
22 192
23 186
24 181
25 176
26 171
27 166
28 161
29 157
30 153
31 149
32 145
33 142
34 138
35 135
36 131
37 128
38 125
39 122
40 119
41 116
42 113
43 110
44 107
45 105
46 102
47 99
48 97
49 94
50 92
51 90
52 87
53 85
54 83
55 80
56 78
57 76
58 74
59 72
60 70
61 68
62 66
63 63
64 62
65 60
66 58
67 56
68 54
69 52
70 50
71 48
72 46
73 45
74 43
75 41
76 39
77 37
78 36
79 34
80 32
81 31
82 29
83 27
84 26
85 24
86 22
87 21
88 19
89 17
90 16
91 14
92 13
93 11
94 10
95 8
96 7
97 5
98 4
99 2
100 1
